a,b,theta,R3,R4,cx,cz,cy,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,5.9,25.5,-0.1,2.1,1.9,17.8,0.5,-4.393357525,-1.760416554,-1.204944702,-0.065129263,-0.96607047,-0.019703814,-0.818906825,-0.189966102,-0.496956545,-1.156689183,-0.132159881,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.5_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-1.6,18.3,-0.8,-4.985836779,-1.503156279,-1.274937168,-0.024981173,-0.339746464,-0.072377003,-0.284450283,-1.17407121,-1.844960976,-0.148650844,-0.068329564,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-0.8_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,-0.3,18.6,1.4,-5.580857449,-0.980942457,-1.148349575,-0.017821284,-1.785033771,-0.022703312,-1.700501899,-0.227051943,-2.113001873,-0.365599876,-0.047527607,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.3_cy=1.4_cz=18.6.log
7.3,5.9,25.5,-0.1,2.1,1.9,17.9,0.5,-4.479116179,-1.784613339,-1.454486604,-0.061652857,-0.957868915,-0.017959336,-0.789583283,-0.18229793,-0.481356646,-1.16185359,-0.120525846,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.5_cz=17.9.log
7.3,5.9,25.5,-0.1,2.1,-1.6,18.4,-0.8,-4.88360285,-1.415148002,-1.274912067,-0.022540159,-0.326650331,-0.067570277,-0.266497222,-1.084883214,-1.905446665,-0.141905111,-0.064708831,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-0.8_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-0.3,18.4,1.5,-5.57985657,-0.752905323,-1.194666088,-0.019741465,-1.938240338,-0.024868221,-1.563692169,-0.24693146,-2.103218992,-0.430547161,-0.052102155,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.3_cy=1.5_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,1.9,18,0.5,-4.440232521,-1.756971524,-1.572828715,-0.05835843,-0.938027048,-0.01634036,-0.760868425,-0.174849386,-0.466083052,-1.137637979,-0.109964852,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.5_cz=18.0.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.2,-1,-5.044377187,-1.574861847,-0.863510236,-0.031570028,-0.3200552,-0.081808479,-0.263020816,-1.299993642,-1.947452185,-0.153702299,-0.075815758,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-1.0_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,-0.3,18.5,1.5,-5.612113722,-0.908050896,-1.202265234,-0.018455069,-1.889081205,-0.023393573,-1.605245881,-0.231444513,-2.108364574,-0.399974874,-0.049083832,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.3_cy=1.5_cz=18.5.log
7.3,5.9,25.5,-0.1,2.1,1.9,17.8,0.6,-4.361414129,-1.80660129,-1.051512232,-0.062895327,-0.933345824,-0.018775099,-0.871021531,-0.185661384,-0.504649817,-1.171969051,-0.127058225,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.6_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.3,-1,-4.981246543,-1.506595034,-1.047333015,-0.028363452,-0.307837581,-0.076211089,-0.247282866,-1.205967543,-1.950018701,-0.146730663,-0.071718118,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-1.0_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,-0.3,18.6,1.5,-5.522828462,-0.964012237,-1.157404545,-0.017256525,-1.829304602,-0.021981675,-1.605258432,-0.216848631,-2.090668792,-0.37147337,-0.046228662,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.3_cy=1.5_cz=18.6.log
