cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.9,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.431008689,-1.129674878,-1.740961234,-0.091317765,-0.351744455,-0.047389555,-0.272940495,-0.081522334,-0.151878128,-1.941696663,-1.438897373,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.9_cz=13.2.log
1.5,-0.8,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.416191295,-1.121738131,-1.738047078,-0.088253006,-0.387809965,-0.045124244,-0.288911879,-0.080605542,-0.155770572,-1.936696036,-1.408176993,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.8_cz=13.2.log
1.6,-0.9,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.412387957,-1.327617887,-1.721424338,-0.091567514,-0.338448773,-0.045736694,-0.268382262,-0.07906877,-0.145700919,-1.844373627,-1.446655906,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.6_cy=-0.9_cz=13.2.log
1.5,-1,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.403924102,-1.130312428,-1.732132168,-0.094462845,-0.319884518,-0.049818019,-0.258077293,-0.082407123,-0.147994468,-1.918496991,-1.462681884,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-1.0_cz=13.2.log
1.5,-0.9,13.1,-2.5,7.4,5.9,25.5,2.1,1.9,-5.384776889,-0.848665859,-1.832474782,-0.097379512,-0.375813229,-0.052697035,-0.283688486,-0.085977655,-0.158895572,-1.87925628,-1.51528793,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.9_cz=13.1.log
1.5,-1,13.1,-2.5,7.4,5.9,25.5,2.1,1.9,-5.378450961,-0.841282577,-1.837398226,-0.100823287,-0.34104541,-0.055421683,-0.268114943,-0.086917665,-0.154803579,-1.883591747,-1.531094907,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-1.0_cz=13.1.log
1.5,-0.8,13.3,-2.5,7.4,5.9,25.5,2.1,1.9,-5.361887207,-1.267216284,-1.641728058,-0.08282128,-0.362369455,-0.04075803,-0.277710826,-0.076429463,-0.148797681,-1.982536896,-1.317821201,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.8_cz=13.3.log
1.6,-0.8,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.359055882,-1.327976823,-1.730848283,-0.088511541,-0.373224123,-0.043507778,-0.283752492,-0.078193394,-0.149334202,-1.788456211,-1.419161556,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.6_cy=-0.8_cz=13.2.log
1.5,-0.7,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.356229891,-1.113292474,-1.722093263,-0.085277354,-0.427616689,-0.043039656,-0.306040392,-0.079650472,-0.159668037,-1.89477021,-1.373461257,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.7_cz=13.2.log
1.6,-0.9,13.3,-2.5,7.4,5.9,25.5,2.1,1.9,-5.350812911,-1.402599057,-1.605337498,-0.085927454,-0.316637781,-0.041192266,-0.258309471,-0.075034508,-0.139330438,-1.909396841,-1.37204936,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.6_cy=-0.9_cz=13.3.log
