cx,cy,cz,A2,a,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.8,13.3,0.0,7.4,5.8,25.5,2.1,1.9,-5.249217786476947,,,-1.097403293242678,-1.5088277145987377,-0.092080817441456,-0.3034763862378895,-0.0398142545018345,-0.3507554996758699,-0.0769352359930053,-0.1514564410899765,-1.9996359162032604,-1.3250112103414722,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=1.5_cy=-0.8_cz=13.3.log
1.5,-0.8,13.2,-0.5,7.3,5.9,25.5,2.1,1.9,-5.212848561874125,,,-0.960885982727632,-1.5647401107707992,-0.0940110380761325,-0.3114984742132947,-0.0425991440424695,-0.3316051494330168,-0.0819854364381171,-0.1598512698546983,-1.909862452943344,-1.4084794530062936,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.1,-1.0,7.4,5.9,25.5,2.1,1.9,-5.180979839118663,,,-0.6916779174935073,-1.6160152078373358,-0.0989445218583569,-0.3500727687496692,-0.0475627479609102,-0.3329517857637256,-0.08522903569974,-0.1637236340320669,-1.880113459075801,-1.4833012354793027,2,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.5_cy=-0.8_cz=13.1.log
1.5,-0.8,13.2,-1.5,7.4,5.9,25.5,2.1,1.9,-5.374762457155157,,,-1.0922075104899704,-1.67639171006158,-0.0911847330862656,-0.3464206603821367,-0.0437223868211731,-0.3092344178585335,-0.0807448492269031,-0.1562550101079978,-1.9528312003822064,-1.4053506880882196,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.2,-2.0,7.4,5.9,25.5,2.1,1.9,-5.402603821072262,,,-1.114597067120485,-1.7142544083762914,-0.0897326749982312,-0.3663415929768234,-0.0443812722805887,-0.2988604228012264,-0.0806883734185248,-0.1560372640960849,-1.9447494990890848,-1.4070449651917445,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.416191294847522,,,-1.1217381310416386,-1.7380470775533468,-0.0882530063390731,-0.3878099650610238,-0.0451242441777139,-0.2889118790626526,-0.0806055420543998,-0.1557705723680555,-1.93669603561284,-1.4081769931945018,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.8_cz=13.2.log
1.4,-0.9,13.2,0.0,7.4,5.8,25.5,2.1,1.9,-5.072108108957764,,,-0.5023543855641037,-1.444934646366164,-0.1017105858772993,-0.3068172493949532,-0.0476179687539115,-0.3505258309887722,-0.0846611391170881,-0.1611144475173205,-2.032711968291551,-1.416640220559202,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.1,-0.5,7.3,5.9,25.5,2.1,1.9,-4.941452996747103,,,-0.1291365380166098,-1.4684022654546425,-0.1038491398794576,-0.3143147388473153,-0.0510353881400078,-0.3310905911494046,-0.090339477173984,-0.169949788309168,-1.9775902347173544,-1.5046591658028774,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.0,-1.0,7.4,5.9,25.5,2.1,1.9,-4.744911844667513,,,0.4482190978014841,-1.4859386598691344,-0.1094415090046823,-0.3520368749741465,-0.0574548156000673,-0.3324158922769129,-0.0939533071359619,-0.1741227298043668,-1.9561802211683244,-1.57612125959713,2,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.9_cz=13.0.log
1.4,-0.9,13.1,-1.5,7.4,5.9,25.5,2.1,1.9,-5.18432760523865,,,-0.3902083084685728,-1.6812636977992952,-0.1004781562369316,-0.348698521964252,-0.0527334304060786,-0.3087587653426453,-0.0888968316139653,-0.1661897483863867,-1.9883539138827475,-1.4998166712466627,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.1,-2.0,7.4,5.9,25.5,2.1,1.9,-5.250042334955651,,,-0.4525238163769245,-1.7586971767013893,-0.098765054019168,-0.3682881291024387,-0.0536734402412548,-0.2983797499909997,-0.0888133729458786,-0.1659845526446588,-1.9785597378504465,-1.50152098829858,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.1,-2.5,7.4,5.9,25.5,2.1,1.9,-5.289297477516811,,,-0.4836897279601544,-1.8137574138818309,-0.0970594816608354,-0.3895895835012197,-0.0546573761384934,-0.28844626666978,-0.0887041859677992,-0.1657304111286066,-1.9686375496676192,-1.5026254058466293,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.3,0.0,7.4,5.8,25.5,2.1,1.9,-5.126828863285482,,,-0.872811189154163,-1.4774948853300884,-0.0946724336827173,-0.2878827627282589,-0.043242969084531,-0.3365185526199639,-0.0800997688784264,-0.1537142220186069,-2.014623992552515,-1.322079483536072,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.2,-0.5,7.3,5.9,25.5,2.1,1.9,-5.141969424672425,,,-0.6596196866594255,-1.5319552232977005,-0.0968611886491999,-0.2952622803859412,-0.0462713323067873,-0.3182090658228844,-0.0854536842671223,-0.1621969022089615,-1.999834209273104,-1.420395240362268,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.1,-1.0,7.4,5.9,25.5,2.1,1.9,-5.087663454643916,,,-0.2858483752934262,-1.5834010030375794,-0.1021824734052643,-0.3308797479839995,-0.0518536613089963,-0.3196335136890411,-0.0889470324036665,-0.1663485083845444,-1.997942266811151,-1.4975262596854009,2,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.2,-1.5,7.4,5.9,25.5,2.1,1.9,-5.288001669512596,,,-0.8357429185416549,-1.6705671622185037,-0.0939194217789918,-0.3273355714045465,-0.0475614928873255,-0.2968084649182856,-0.0841704264166764,-0.1586966514587402,-1.999398089770693,-1.409768985991832,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-2.0,7.4,5.9,25.5,2.1,1.9,-5.326592279539909,,,-0.8699120929231867,-1.7162674604915082,-0.0924322229111567,-0.3452509819762781,-0.0483295652084052,-0.2868210157612338,-0.0841126954182982,-0.1585140460520051,-1.993101654574275,-1.4113572138594463,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-2.5,7.4,5.9,25.5,2.1,1.9,-5.344901138741989,,,-0.8807127950713038,-1.7445355309173465,-0.090933729079552,-0.3648154888069257,-0.0491679185070097,-0.2772954138927161,-0.0840273540234193,-0.1582837498281151,-1.9865504502085969,-1.4123091465444304,1,Done,tetracene_a=7.4_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.4,0.0,7.4,5.8,25.5,2.1,1.9,-5.049596815428231,,,-1.075452993507497,-1.4584662721026689,-0.0881287594093009,-0.2699372317874804,-0.0392331802286207,-0.3229542967164889,-0.0757787351612933,-0.1465825709165074,-1.9739588344818912,-1.2261903079925105,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=1.4_cy=-0.9_cz=13.4.log
1.4,-0.9,13.3,-0.5,7.3,5.9,25.5,2.1,1.9,-5.17095034715021,,,-0.9835805093171076,-1.5341540183871984,-0.0903513998491689,-0.2771435566246509,-0.0420193246100097,-0.3057040467392653,-0.0808352107414975,-0.1547169830882921,-1.990798692917452,-1.3281230326392688,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.9_cz=13.3.log
