cx,cy,cz,a,b,theta,R3,R4,A1,A2,status
1.5,-0.9,18.2,7.3,5.9,25.5,2.2,2.1,-0.1,0,Done
1.5,-0.9,18.2,7.3,5.9,25.5,2.2,2.1,-0.2,0,Done
1.5,-0.9,18.2,7.3,5.9,25.5,2.2,2.1,-0.3,0,Done
1.5,-0.9,18.2,7.3,5.9,25.5,2.2,2.1,-0.4,0,Done
