cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.4,0.9,13.4,-2.5,7.5,5.7,25.5,2.1,1.9,-4.362326528,-1.138832759,0.971844817,-0.039572036,-1.306558651,-0.033576805,-1.243994649,-0.070085337,-0.342105902,-2.170719615,-0.384070633,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=0.9_cz=13.4.log
0.4,1,13.4,-2.5,7.5,5.7,25.5,2.1,1.9,-4.354565484,-1.211011469,0.766761999,-0.038197789,-0.945288594,-0.032382026,-1.339176621,-0.068397962,-0.348315741,-2.171457567,-0.366746964,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=1.0_cz=13.4.log
0.5,1.1,13.4,-2.5,7.5,5.7,25.5,2.1,1.9,-4.223089589,-1.351273759,0.370047667,-0.037756022,-0.187850139,-0.029949797,-1.403962009,-0.065587345,-0.336056078,-2.136055963,-0.365018174,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.5_cy=1.1_cz=13.4.log
0.4,1.1,13.4,-2.5,7.5,5.7,25.5,2.1,1.9,-4.222214212,-1.253801376,0.545395296,-0.036882528,-0.371256251,-0.031218622,-1.4369979,-0.066713726,-0.354390665,-2.158804455,-0.349924676,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=1.1_cz=13.4.log
0.6,0.9,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,2,InProgress,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.6_cy=0.9_cz=13.6.log
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.6,0.9,13.6,-2,7.4,5.7,25.5,2.1,1.9,-5.062729345,-1.279612117,-0.523379736,-0.037269074,-1.333304383,-0.026336595,-1.115440441,-0.060613701,-0.280240318,-2.192981787,-0.371222366,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=0.9_cz=13.6.log
0.5,1,13.6,-2,7.4,5.7,25.5,2.1,1.9,-5.027170863,-1.283316936,-0.508375972,-0.035217116,-1.224486618,-0.026597639,-1.232833756,-0.060179464,-0.299218103,-2.17211708,-0.340242197,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=1.0_cz=13.6.log
0.6,1,13.6,-2,7.4,5.7,25.5,2.1,1.9,-5.021444834,-1.310774263,-0.600010002,-0.036046684,-1.153916844,-0.025438,-1.201662825,-0.059223139,-0.284954174,-2.159290148,-0.354053065,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=1.0_cz=13.6.log
0.5,0.9,13.6,-2,7.4,5.7,25.5,2.1,1.9,-5.018944834,-1.246709257,-0.4201192,-0.03641315,-1.385052622,-0.027528864,-1.144477838,-0.061615834,-0.29416853,-2.176669037,-0.356340966,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=0.9_cz=13.6.log
0.6,0.9,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.995887921,-1.285511966,-0.183559853,-0.039536895,-1.371072954,-0.028461344,-1.180248418,-0.064230669,-0.298664012,-2.188987686,-0.399809839,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=0.9_cz=13.5.log
0.4,1,13.6,-2,7.4,5.7,25.5,2.1,1.9,-4.979417352,-1.249303384,-0.426838577,-0.034349897,-1.297765981,-0.027763552,-1.261018996,-0.061113826,-0.314183589,-2.128741079,-0.326858664,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=1.0_cz=13.6.log
0.5,1,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.962891876,-1.294703732,-0.163283122,-0.03734814,-1.227807401,-0.028679717,-1.303500168,-0.063809609,-0.319488559,-2.186360929,-0.365571638,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=1.0_cz=13.5.log
0.5,0.9,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.953461656,-1.229367391,-0.030898592,-0.038654616,-1.428407288,-0.029722639,-1.211576228,-0.065354539,-0.313985924,-2.206664015,-0.383143801,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=0.9_cz=13.5.log
0.4,1.1,13.6,-2,7.4,5.7,25.5,2.1,1.9,-4.945799759,-1.269839276,-0.529423912,-0.033216614,-1.033112384,-0.026834838,-1.353655787,-0.059631648,-0.319478519,-2.131425566,-0.312222621,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=1.1_cz=13.6.log
0.5,1.1,13.6,-2,7.4,5.7,25.5,2.1,1.9,-4.945147148,-1.301891232,-0.599190474,-0.034058733,-0.928321979,-0.025701555,-1.323875417,-0.058744349,-0.304084443,-2.151219114,-0.324579548,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=1.1_cz=13.6.log
0.6,1,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.942934548,-1.344302123,-0.29777232,-0.038204064,-1.148378441,-0.027457327,-1.27009279,-0.06273845,-0.303770061,-2.132309101,-0.381013404,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.6_cy=1.0_cz=13.5.log
0.4,0.9,13.6,-2,7.4,5.7,25.5,2.1,1.9,-4.931998931,-1.209295856,-0.327816244,-0.035524596,-1.436465772,-0.028733683,-1.17091358,-0.062601025,-0.308746215,-2.114359177,-0.341917649,2,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=0.9_cz=13.6.log
0.4,1,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.91578721,-1.235508204,-0.043209084,-0.036454566,-1.309895749,-0.029909637,-1.333707244,-0.064850648,-0.336121966,-2.169873104,-0.35059925,2,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=1.0_cz=13.5.log
0.4,1.1,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.878789221,-1.279161565,-0.19581324,-0.035223391,-0.988171373,-0.02887048,-1.429551866,-0.063256146,-0.342006128,-2.160503752,-0.334627238,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.4_cy=1.1_cz=13.5.log
0.5,1.1,13.5,-2,7.4,5.7,25.5,2.1,1.9,-4.865445221,-1.336116882,-0.297472371,-0.03609061,-0.869958529,-0.027679466,-1.397871397,-0.06226719,-0.324831807,-2.147264546,-0.348487051,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=0.5_cy=1.1_cz=13.5.log
