cx,cy,cz,a,b,theta,R3,R4,A2,status
0.3,1.3,13.5,7.4,5.8,25.5,2.1,1.9,-0.5,NotYet
0.4,1.2,13.5,7.4,5.8,25.5,2.1,1.9,-1,NotYet
0.4,1.1,13.5,7.4,5.8,25.5,2.1,1.9,-1.5,NotYet
0.5,1,13.5,7.4,5.7,25.5,2.1,1.9,-2,NotYet
0.5,1,13.5,7.5,5.7,25.5,2.1,1.9,-2.5,NotYet
