cx,cy,cz,A2,a,b,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
0.6,0.9,13.4,-2.5,7.5,5.7,-4.580554426,-1.326927626,0.499364928,-0.04138052,-1.130278542,-0.030860942,-1.182627936,-0.067569649,-0.308544157,-2.178368962,-0.419716339
0.6,1,13.5,-2,7.4,5.7,-4.942934548,-1.344302123,-0.29777232,-0.038204064,-1.148378441,-0.027457327,-1.27009279,-0.06273845,-0.303770061,-2.132309101,-0.381013404
0.6,1,13.6,-2,7.4,5.7,-5.021444834,-1.310774263,-0.600010002,-0.036046684,-1.153916844,-0.025438,-1.201662825,-0.059223139,-0.284954174,-2.159290148,-0.354053065
0.6,0.9,13.5,-2.5,7.5,5.7,-4.834232246,-1.353347052,-0.09504392,-0.039048692,-1.149643501,-0.028546685,-1.118915591,-0.063803962,-0.289901462,-2.198060226,-0.390193876
0.6,1.1,13.4,-2,7.4,5.7,-4.487935832,-1.385656287,0.0363755,-0.039088853,-0.645898553,-0.02855798,-1.434943432,-0.064859434,-0.329083814,-1.955217621,-0.389890161
0.6,1.1,13.5,-2,7.4,5.7,-4.772712734,-1.380880936,-0.412310465,-0.036920178,-0.759341066,-0.02649661,-1.362595294,-0.061244976,-0.308690367,-2.050724643,-0.362780474
0.6,0.9,13.6,-2.5,7.5,5.7,-4.907162086,-1.319514223,-0.462865181,-0.036849897,-1.145313682,-0.026389305,-1.05669923,-0.060242215,-0.272267176,-2.188297425,-0.36253951
0.6,1.1,13.6,-2,7.4,5.7,-4.880391882,-1.325496903,-0.678121191,-0.034861946,-0.830691463,-0.024574547,-1.290724064,-0.057829439,-0.289476011,-2.103495096,-0.337356279
0.5,0.8,13.5,-2,7.4,5.7,-4.866218313,-1.140715288,0.091149593,-0.040013803,-1.516311399,-0.030795681,-1.122547619,-0.066900724,-0.308315116,-2.210207564,-0.401177811
0.6,1,13.4,-2.5,7.5,5.7,-4.438365053,-1.391638967,0.342083311,-0.039953562,-0.695218329,-0.029756524,-1.273653282,-0.066000247,-0.313798298,-2.114644694,-0.399853137
0.5,0.8,13.6,-2,7.4,5.7,-4.945436431,-1.191721811,-0.34010791,-0.037661895,-1.449939666,-0.028500249,-1.059258215,-0.06305597,-0.288938862,-2.166991578,-0.372855147
0.5,0.8,13.7,-2,7.4,5.7,-4.89613046,-1.181503438,-0.601108144,-0.035444275,-1.380045092,-0.02636546,-0.997836282,-0.059430845,-0.270672673,-2.108522079,-0.346353517
0.5,0.9,13.7,-2,7.4,5.7,-4.960687747,-1.210719049,-0.652696996,-0.034300952,-1.333532796,-0.025500751,-1.078813309,-0.058098013,-0.275510148,-2.128047053,-0.331250606
0.6,1,13.5,-2.5,7.5,5.7,-4.710601481,-1.388456236,-0.199280861,-0.037740962,-0.78596757,-0.027545179,-1.206544853,-0.062339981,-0.29474835,-2.158730409,-0.372014911
0.5,1,13.7,-2,7.4,5.7,-4.971173753,-1.226380444,-0.710533338,-0.033199044,-1.206223567,-0.024666163,-1.163267998,-0.056762045,-0.28017192,-2.13558282,-0.316521692
0.6,0.8,13.5,-2,7.4,5.7,-4.961980104,-1.204996158,-0.077615457,-0.040916162,-1.474546843,-0.02949046,-1.093586777,-0.06572728,-0.293371593,-2.223075912,-0.419229391
0.6,1,13.6,-2.5,7.5,5.7,-4.804558553,-1.333403529,-0.530927426,-0.035638803,-0.842434685,-0.025486946,-1.140476835,-0.058883028,-0.276751363,-2.16884587,-0.34589418
0.6,0.8,13.6,-2,7.4,5.7,-5.030822971,-1.231475825,-0.453555443,-0.038544174,-1.411460753,-0.02727033,-1.032778548,-0.062000498,-0.275343858,-2.207056837,-0.388879242
0.6,0.8,13.7,-2,7.4,5.7,-4.976835776,-1.204736369,-0.677830027,-0.036301454,-1.343679633,-0.025198291,-0.97390807,-0.058483932,-0.258345867,-2.168564746,-0.360614309
0.6,1.1,13.4,-2.5,7.5,5.7,-4.144805207,-1.429067429,0.174356163,-0.038591865,-0.019813001,-0.028682227,-1.367503678,-0.064435864,-0.318856656,-2.02625238,-0.380609288
0.6,0.9,13.7,-2,7.4,5.7,-5.008816195,-1.228619399,-0.722702012,-0.035131775,-1.285434155,-0.024367468,-1.052207513,-0.057198791,-0.262848879,-2.170020569,-0.344516795
0.6,1,13.7,-2,7.4,5.7,-4.980086278,-1.240293595,-0.772841316,-0.034008532,-1.141665339,-0.023564255,-1.134501684,-0.055902356,-0.267199406,-2.154723758,-0.328823398
0.6,1.1,13.5,-2.5,7.5,5.7,-4.454390403,-1.402932892,-0.312259016,-0.036474646,-0.209088842,-0.026572538,-1.297140981,-0.060877883,-0.299404474,-2.097519946,-0.354353642
0.7,0.8,13.5,-2,7.4,5.7,-4.987438813,-1.264835512,-0.25509913,-0.041780871,-1.431190923,-0.028192769,-1.062843808,-0.064527481,-0.279128371,-2.163531488,-0.438279967
0.7,0.8,13.6,-2,7.4,5.7,-5.059804521,-1.267718292,-0.573457544,-0.039382528,-1.371772001,-0.026041665,-1.004762737,-0.060923691,-0.262393306,-2.189269438,-0.405650702
0.7,0.8,13.7,-2,7.4,5.7,-5.013015492,-1.225105343,-0.759135243,-0.037113451,-1.306246151,-0.024046183,-0.94851023,-0.057520704,-0.246652846,-2.183396572,-0.375367069
0.6,1.1,13.6,-2.5,7.5,5.7,-4.587557437,-1.332971802,-0.606134499,-0.034471634,-0.352466092,-0.024617217,-1.227597813,-0.057521959,-0.281054199,-2.130128503,-0.329723247
0.7,0.9,13.5,-2,7.4,5.7,-4.954435551,-1.33473385,-0.344673673,-0.040373993,-1.314840528,-0.027202558,-1.146586272,-0.06308609,-0.284045539,-2.085801197,-0.417297288
0.7,0.9,13.6,-2,7.4,5.7,-5.038341796,-1.30739324,-0.632804929,-0.038087347,-1.282867639,-0.025153111,-1.08436991,-0.05958082,-0.266914516,-2.139861183,-0.386647189
0.5,0.8,13.5,-2.5,7.5,5.7,-4.743897789,-1.239086266,0.172333071,-0.03952309,-1.409701215,-0.030901102,-1.062619159,-0.066460212,-0.299397571,-2.181895568,-0.391395557
0.7,0.9,13.7,-2,7.4,5.7,-5.002731859,-1.242714529,-0.796981626,-0.035931223,-1.238493897,-0.023246735,-1.02376374,-0.056275097,-0.250758644,-2.156961458,-0.358170785
0.7,1,13.5,-2,7.4,5.7,-4.825628456,-1.384535554,-0.440448014,-0.039016062,-1.074215544,-0.026243723,-1.233963274,-0.061645955,-0.288789515,-1.978941264,-0.397040637
0.5,0.8,13.6,-2.5,7.5,5.7,-4.826155565,-1.256160813,-0.286632763,-0.037237698,-1.361749411,-0.028569275,-1.002267757,-0.062679464,-0.280835825,-2.132363066,-0.36396835
0.7,1,13.6,-2,7.4,5.7,-4.935869413,-1.331681642,-0.697469835,-0.036839857,-1.088436175,-0.024287147,-1.168059664,-0.058239203,-0.271301438,-2.064663523,-0.368278089
0.7,1,13.7,-2,7.4,5.7,-4.92466334,-1.249565683,-0.83899593,-0.034780369,-1.081621417,-0.022474898,-1.103488885,-0.055024469,-0.25476655,-2.107952927,-0.341455801
0.5,0.8,13.7,-2.5,7.5,5.7,-4.779650798,-1.219180394,-0.566106891,-0.035076554,-1.308143742,-0.026396836,-0.94410009,-0.05911709,-0.263342102,-2.069386163,-0.338303191
0.5,0.9,13.7,-2.5,7.5,5.7,-4.800066523,-1.23414839,-0.606543636,-0.033955821,-1.190685165,-0.025522087,-1.021327746,-0.057808104,-0.267953673,-2.094528606,-0.323684718
0.5,1,13.7,-2.5,7.5,5.7,-4.756671382,-1.236798365,-0.656369185,-0.032863954,-0.963492659,-0.024686244,-1.103471315,-0.056494725,-0.272393933,-2.10950476,-0.309437104
0.6,0.8,13.5,-2.5,7.5,5.7,-4.858580889,-1.296114375,-0.007098393,-0.040411644,-1.354826721,-0.029575801,-1.035579753,-0.06526104,-0.28486695,-2.217729527,-0.408920029
0.6,0.8,13.6,-2.5,7.5,5.7,-4.925017255,-1.289315931,-0.406782102,-0.038094877,-1.311352828,-0.027319275,-0.977862638,-0.061605794,-0.267627368,-2.190787385,-0.379632882
0.6,0.8,13.7,-2.5,7.5,5.7,-4.869930034,-1.237070704,-0.647296645,-0.035917417,-1.260865883,-0.025217117,-0.922174891,-0.058149469,-0.251395566,-2.143832694,-0.352280976
0.6,0.9,13.7,-2.5,7.5,5.7,-4.860476283,-1.248309408,-0.682261502,-0.034766564,-1.127573974,-0.024380018,-0.996417481,-0.056890056,-0.255623729,-2.154431338,-0.336676685
0.6,1,13.7,-2.5,7.5,5.7,-4.779858504,-1.248624418,-0.725509492,-0.033652106,-0.877467313,-0.023571786,-1.075896016,-0.055623741,-0.259745214,-2.15066063,-0.321468353
0.7,0.8,13.5,-2.5,7.5,5.7,-4.915061809,-1.345553378,-0.195333823,-0.041249997,-1.301264977,-0.02826556,-1.007188691,-0.064047436,-0.27106926,-2.193145567,-0.427371333
0.7,0.8,13.6,-2.5,7.5,5.7,-4.9782232,-1.316965277,-0.533463821,-0.03891817,-1.262294096,-0.026084336,-0.952124688,-0.060507652,-0.255117328,-2.20175124,-0.395921787
0.7,0.8,13.7,-2.5,7.5,5.7,-4.924977722,-1.250869649,-0.733200254,-0.036716865,-1.214725073,-0.024057478,-0.898800143,-0.057172436,-0.240095994,-2.181831562,-0.366692999
0.7,0.9,13.5,-2.5,7.5,5.7,-4.830199867,-1.394191678,-0.270018808,-0.03986822,-1.079348575,-0.02728037,-1.087061928,-0.062639303,-0.275707814,-2.135813744,-0.407154216
0.7,0.9,13.6,-2.5,7.5,5.7,-4.91242815,-1.340588519,-0.581104381,-0.037649345,-1.081981607,-0.025193272,-1.027604101,-0.059200548,-0.259351138,-2.169224886,-0.377590965
0.7,0.9,13.7,-2.5,7.5,5.7,-4.877945847,-1.257523765,-0.762469831,-0.035547186,-1.068797622,-0.02325301,-0.970036334,-0.055954439,-0.243955808,-2.169172175,-0.350049551
0.7,1,13.5,-2.5,7.5,5.7,0,0,0,0,0,0,0,0,0,0,0
