cx,cy,cz,A2,a,b,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
0.3,1.2,13.6,-0.5,7.4,5.8,-5.359695942,-1.144776533,-0.84711089,-0.031109436,-1.60770321,-0.025788151,-1.568667068,-0.057520704,-0.343282483,-2.063206444,-0.283108667
0.4,1,13.5,-1.5,7.4,5.8,-5.060260093,-1.158811422,-0.183301946,-0.035623743,-1.583231575,-0.028749998,-1.304809154,-0.063860438,-0.3346492,-2.170987562,-0.343498974
0.4,1.1,13.5,-1,7.4,5.8,-5.274970169,-1.151094304,-0.452558957,-0.034784134,-1.609101303,-0.027634286,-1.465778019,-0.062046934,-0.342226384,-2.171643937,-0.328577414
0.3,1.3,13.4,-0.5,7.4,5.8,-5.362509069,-1.036843558,-0.376650327,-0.033884285,-1.610378913,-0.028442518,-1.81252373,-0.06307103,-0.402755998,-2.139367333,-0.307953043
0.4,1,13.6,-1.5,7.4,5.8,-5.082685418,-1.200378939,-0.525127978,-0.03356049,-1.516193427,-0.026760791,-1.233247913,-0.060182602,-0.312818755,-2.121647078,-0.320402213
0.4,1.1,13.6,-1,7.4,5.8,-5.264753679,-1.191258709,-0.71632651,-0.032772337,-1.545209489,-0.025766816,-1.389041076,-0.058479539,-0.319597118,-2.129696149,-0.306793404
0.3,1.3,13.5,-0.5,7.4,5.8,-5.465135192,-1.158662075,-0.715527063,-0.031928964,-1.593042067,-0.026622739,-1.735339999,-0.059434609,-0.375040137,-2.111349011,-0.288749982
0.4,1.1,13.4,-1.5,7.4,5.8,-4.992612632,-1.134816695,0.163576797,-0.036489707,-1.530553366,-0.02979041,-1.475309896,-0.06604731,-0.364715087,-2.189160251,-0.350998346
0.4,1.2,13.4,-1,7.4,5.8,-5.207021504,-1.133299375,-0.165484427,-0.035640058,-1.534751408,-0.028574295,-1.63908373,-0.064117717,-0.37304842,-2.166182718,-0.335256003
0.3,1.3,13.6,-0.5,7.4,5.8,-5.421333112,-1.190293599,-0.901213547,-0.030081574,-1.554446437,-0.024909637,-1.655024994,-0.05600464,-0.349102638,-2.067654863,-0.270586077
0.4,1.1,13.5,-1.5,7.4,5.8,-5.163771632,-1.229802883,-0.330637529,-0.034415158,-1.503368378,-0.027769828,-1.400033796,-0.062262797,-0.34072287,-2.169994841,-0.327777339
0.4,1.2,13.5,-1,7.4,5.8,-5.344305946,-1.223886719,-0.565432946,-0.033606298,-1.518459993,-0.026679215,-1.560864609,-0.060453058,-0.34824797,-2.157738316,-0.313401712
0.3,1.4,13.4,-0.5,7.4,5.8,-5.315054881,-1.120070209,-0.46153737,-0.032702056,-1.362068186,-0.027424697,-1.876812129,-0.06132718,-0.409508006,-2.110140427,-0.293771944
0.4,1.1,13.6,-1.5,7.4,5.8,-5.169766863,-1.241820955,-0.62623239,-0.032452307,-1.459584495,-0.025868472,-1.325140477,-0.05869854,-0.318285622,-2.131220371,-0.306012782
0.3,1.4,13.5,-0.5,7.4,5.8,-5.429960747,-1.208473818,-0.771198495,-0.030840861,-1.399317179,-0.02569277,-1.805705206,-0.057808731,-0.381168399,-2.09475451,-0.275614942
0.4,1.2,13.6,-1,7.4,5.8,-5.326980081,-1.233841537,-0.795205772,-0.031684235,-1.480883439,-0.024894577,-1.48189122,-0.056995478,-0.325033865,-2.127812364,-0.292937983
0.4,1.2,13.4,-1.5,7.4,5.8,-5.012555214,-1.21296679,-0.029366213,-0.035225901,-1.289629686,-0.028747488,-1.573264834,-0.064337973,-0.371223621,-2.157966729,-0.334426434
0.3,1.4,13.6,-0.5,7.4,5.8,-5.39725116,-1.215239631,-0.934723836,-0.029082578,-1.404415071,-0.024061243,-1.729379909,-0.054495478,-0.354679947,-2.06122163,-0.25840297
