cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.8,13.3,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.246717159170657,-1.1579052973538635,-1.4628086413722483,-0.0927685683127492,-0.2991101717343554,-0.0406915134517475,-0.3534349674591794,-0.0769841818255372,-0.1512976810918189,-1.991869224817492,-1.3232064915937372,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.8_cz=13.3.log
1.5,-0.8,13.3,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.220103205123451,-1.2624710536329076,-1.3486796325305477,-0.0940386486472562,-0.2903087164741009,-0.0425828285515308,-0.3585993747692555,-0.077063875622116,-0.1509469029842876,-1.9746283876593225,-1.3191239115549251,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.8_cz=13.3.log
1.4,-0.9,13.2,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.074042722582817,-0.601019037887454,-1.3693498120410368,-0.102449792670086,-0.3026618781732395,-0.0486533603398129,-0.3529643348883837,-0.0847069474402815,-0.1609500399208627,-2.0250117930117995,-1.4148248342098668,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.057255574967712,-0.7866804215591401,-1.1932014798512682,-0.1037750937975943,-0.2942293988307938,-0.050870980718173,-0.3576493244618177,-0.0847791109699755,-0.1605954967672005,-2.0079428936587647,-1.4107347239623778,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.3,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.1280349377775565,-0.9380032030167058,-1.4273179307347164,-0.0954241907456889,-0.2838968191063031,-0.0442080793436616,-0.3387374280719086,-0.0801386745879426,-0.1535598546033725,-2.0102646806044504,-1.3202779024722986,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.3,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.112921987078153,-1.0570870307274165,-1.3073857094859704,-0.0968109876848757,-0.2758195105707273,-0.0462826276198029,-0.3429906908422708,-0.0802095832186751,-0.1532247643335722,-2.0001052937004715,-1.316194067359902,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.4,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.050437051802874,-1.116022769943811,-1.427206234075129,-0.088904361706227,-0.2661056556971743,-0.0401342846453189,-0.3249422484077513,-0.0758151307236403,-0.1464382437407039,-1.9720988950575704,-1.2244270050432533,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.9_cz=13.4.log
1.4,-0.9,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.037574351183139,-1.1876630765618756,-1.34870975301601,-0.0903426146833226,-0.2583596721524372,-0.0420695253415033,-0.3287549989763647,-0.0758803917560726,-0.1461226061219349,-1.9672080819727853,-1.2204134509665892,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.9_cz=13.4.log
1.4,-0.8,13.2,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.090834890143015,-0.7214808774879202,-1.2669339048443362,-0.0990160579094663,-0.3310454107122496,-0.0467482400126755,-0.3757718132110312,-0.0837236391962505,-0.1652647986775264,-2.0382146036135964,-1.3831336965668015,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.2,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.061271011305507,-0.9197928628418596,-1.0581199121661484,-0.1003225337481126,-0.3219000797253102,-0.0489256996661424,-0.3811094133416191,-0.0837932928698137,-0.1649033528519794,-2.018448666029144,-1.379040448809974,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.8_cz=13.2.log
1.4,-0.8,13.3,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.164408868935425,-1.0270656973589212,-1.3605144710745662,-0.0923242914723232,-0.3103953114477917,-0.0424887021072208,-0.3605252029374242,-0.079220627550967,-0.1576518473448231,-2.042331069067586,-1.2885484867729249,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.8_cz=13.3.log
1.4,-0.8,13.3,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.140686794358771,-1.15664023719728,-1.2166000728029758,-0.0937023031292483,-0.3016478220233693,-0.0445255994563922,-0.3654304484371096,-0.0792915361234918,-0.1573104819399304,-2.0303682184312493,-1.284443316340912,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.8_cz=13.3.log
1.4,-0.8,13.4,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.102677258779295,-1.1831751251593232,-1.3865071904147044,-0.0861207274720072,-0.2907755837077275,-0.0385830797022208,-0.3456651385640725,-0.074953559495043,-0.1503112353966571,-2.018271708162501,-1.1937273332150653,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.8_cz=13.4.log
1.4,-0.8,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.083548871567473,-1.262699467362836,-1.2898681402439252,-0.0875489402096718,-0.2824284457601607,-0.0404743950348347,-0.3501656403532251,-0.0750207030214369,-0.149989950354211,-2.0122551423264667,-1.1896905613830313,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.8_cz=13.4.log
1.4,-0.7,13.2,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.059208385762759,-0.8122326286975294,-1.158862877637148,-0.0956777045503258,-0.3628827579086646,-0.0448970855213701,-0.4000878258375451,-0.0826976603711955,-0.1695776748238131,-2.020964353519957,-1.3486482569715008,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.2,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.017204121453688,-1.0240009383996949,-0.9168347807135432,-0.0969841805053874,-0.3530534411547705,-0.0470281095476821,-0.4062173434067517,-0.0827748440788127,-0.1692086989060044,-1.9986155849182976,-1.3445455966866575,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.3,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.16047469485784,-1.0920330624794587,-1.2887812930857765,-0.0893185182940214,-0.3396121771074831,-0.0408170154551044,-0.3838089612545445,-0.0782611647155135,-0.1617469775956124,-2.048377128026914,-1.2549039106816051,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.7_cz=13.3.log
1.4,-0.7,13.3,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.128561732562957,-1.2326505234232172,-1.1209688037633896,-0.0906902551651001,-0.3301411687280051,-0.0428062222199514,-0.3893837602809071,-0.0783358384505845,-0.1613949443562887,-2.034731923020445,-1.250778659945354,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.7_cz=13.3.log
1.4,-0.7,13.4,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.121316188422497,-1.2304956541629508,-1.341131942346692,-0.0834211794426664,-0.3179003311088308,-0.0370921163121238,-0.3679580587195232,-0.074055592645891,-0.1541980322799645,-2.042333579156548,-1.1617293432937004,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.4_cy=-0.7_cz=13.4.log
1.4,-0.7,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.096409061050508,-1.318680889555253,-1.2265988169237971,-0.0848180166212841,-0.3088240263750776,-0.0389457804849371,-0.3730509298620745,-0.0741258738562464,-0.1538667068816721,-2.035288524290081,-1.1576687261112966,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.4_cy=-0.7_cz=13.4.log
1.5,-0.9,13.2,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.197950847039465,-0.8023405610583723,-1.4994326349115,-0.1027798628201708,-0.2917030435055494,-0.0466628987342119,-0.3461884817807004,-0.082218870287761,-0.1544333485653624,-1.9746233676560223,-1.4421215191250667,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.9_cz=13.2.log
1.5,-0.9,13.2,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.179958252701908,-0.9628563640872017,-1.3586695918347689,-0.1039658567169681,-0.2831990279955789,-0.0487223864765837,-0.3510692545678466,-0.0823035840294323,-0.1540712752612307,-1.9511206081369887,-1.438221544434782,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.9_cz=13.2.log
1.5,-0.9,13.3,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.231297356076539,-1.0625087171792984,-1.507999401539564,-0.0958433672785759,-0.2735052534844726,-0.0423707303125411,-0.3325200590770691,-0.0778639508644118,-0.147462967550382,-1.9938270560815,-1.354769617144484,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.9_cz=13.3.log
1.5,-0.9,13.3,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.214919345220551,-1.1613729175878689,-1.4153538251994178,-0.0971147025702521,-0.2653827640460804,-0.0442946759285405,-0.3369540447602048,-0.0779373695258982,-0.1471216020290739,-1.9789450290845707,-1.3506788795348257,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.9_cz=13.3.log
1.5,-0.9,13.4,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.137786443112418,-1.1863540906924754,-1.471569936024025,-0.0894026046153158,-0.2562637887895107,-0.0384400076000019,-0.3192620277404785,-0.0737292874255217,-0.1407435903674923,-1.9810628751292825,-1.2616044624592178,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.9_cz=13.4.log
1.5,-0.9,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.124974571925122,-1.2431412357836962,-1.414845542050898,-0.0907379460986703,-0.2484989801887422,-0.0402296661632135,-0.3232529914239421,-0.0738027062034234,-0.1404229327454231,-1.972944150911644,-1.2574516012100505,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.9_cz=13.4.log
1.5,-0.8,13.2,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.190502303477842,-0.9299258942482992,-1.4261118564754725,-0.0993674634955823,-0.3191114254295826,-0.0447991939727216,-0.3681375265587121,-0.081284507876262,-0.1584789055632427,-1.9451705581741408,-1.4118416517740116,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.2,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.158351200807374,-1.0976819075876847,-1.256770752952434,-0.1005572224967181,-0.3098970684222877,-0.0468260511988773,-0.3737186006037518,-0.0813616914674639,-0.1581080470932647,-1.918175705650356,-1.4079799549654126,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.4,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.172155165928416,-1.2583181924419478,-1.447204977623187,-0.0866428157314658,-0.2801066586980596,-0.0369277084246277,-0.3391139340819791,-0.0729078768054023,-0.1443749908357858,-2.000223265727982,-1.2304918890586125,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.8_cz=13.4.log
1.5,-0.8,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.151524519897066,-1.318914323230274,-1.37405990192201,-0.0879580766195431,-0.2717181050684303,-0.038687246502377,-0.3438528897240758,-0.0729775305371731,-0.1440468030632473,-1.990571534319315,-1.226333380443975,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.8_cz=13.4.log
1.5,-0.7,13.2,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.12125092750648,-1.029145265580155,-1.3473141707945615,-0.0960567208239808,-0.3498933009104803,-0.0429907102370634,-0.39158255525399,-0.0803049647947773,-0.1625326200737618,-1.8718397397897208,-1.378082241048105,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.7_cz=13.2.log
1.5,-0.7,13.2,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.075421989313327,-1.2052735172910616,-1.1493247256148609,-0.0972590298624709,-0.3399435024475679,-0.044983681757003,-0.3978702054591849,-0.0803877961006946,-0.1621510940603912,-1.841342126019299,-1.3742136419168671,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=1.5_cy=-0.7_cz=13.2.log
1.5,-0.7,13.3,-0.25,0,7.4,5.8,25.5,2.1,1.9,-5.209944445581641,-1.2301505237119272,-1.4125852509168908,-0.0897904058219865,-0.3273029410047456,-0.0390549673466011,-0.3759224156383425,-0.0760655071353539,-0.1551436898298561,-1.9519545688526705,-1.2893774275435137,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.25_A2=0_cx=1.5_cy=-0.7_cz=13.3.log
