cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.6,-0.9,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.118071961,-1.225087773,-1.606526002,-0.078388549,-0.297671919,-0.029587097,-0.317582811,-0.073023339,-0.151662892,-1.820149231,-1.295814425,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-0.9_cz=18.2.log
1.6,-0.9,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.064573597,-1.293624415,-1.514213006,-0.073217867,-0.27921685,-0.026562498,-0.305628745,-0.069170427,-0.144885784,-1.896874878,-1.207410816,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-0.9_cz=18.3.log
1.7,-1.1,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-4.969876062,-0.936351597,-1.695500645,-0.08972138,-0.253432464,-0.034588351,-0.288303195,-0.076518569,-0.144572029,-1.690455464,-1.409381185,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-1.1_cz=18.1.log
1.7,-1.1,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.026697093,-1.116697971,-1.58443765,-0.083760035,-0.23815887,-0.031049195,-0.277930454,-0.072527606,-0.13834713,-1.791459474,-1.358345797,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-1.1_cz=18.2.log
1.7,-1.1,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-4.956400285,-1.189288327,-1.467513711,-0.078194021,-0.223870467,-0.027792418,-0.267821268,-0.06874372,-0.132354409,-1.843756157,-1.284305892,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-1.1_cz=18.3.log
1.7,-1,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-4.948546998,-1.080848325,-1.700966257,-0.086991711,-0.277836328,-0.033057227,-0.305107912,-0.075734182,-0.14841239,-1.588698442,-1.393298104,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-1_cz=18.1.log
1.7,-1,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.03293768,-1.226072964,-1.597860088,-0.081275095,-0.260811981,-0.029643572,-0.294019811,-0.071799694,-0.141992963,-1.739275742,-1.335027525,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-1_cz=18.2.log
1.7,-1,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-4.984227216,-1.271931394,-1.485222043,-0.075922435,-0.244653599,-0.026556223,-0.283232914,-0.06806601,-0.135799439,-1.828846519,-1.257755943,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-1_cz=18.3.log
1.7,-0.9,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-4.833681292,-1.200313678,-1.698129911,-0.084318519,-0.304574529,-0.031563753,-0.323048423,-0.074930969,-0.152284127,-1.41750744,-1.36798435,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-0.9_cz=18.1.log
1.7,-0.9,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-4.963092679,-1.31560609,-1.605258431,-0.078834081,-0.285830805,-0.028306976,-0.311219859,-0.071046682,-0.145657621,-1.628338249,-1.305522005,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-0.9_cz=18.2.log
1.7,-0.9,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-4.950539341,-1.338899262,-1.498569181,-0.073688499,-0.268015796,-0.02539533,-0.299698776,-0.067356923,-0.139275844,-1.764363592,-1.22740956,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.7_cy=-0.9_cz=18.3.log
1.4,-1,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.019866646,-0.520224615,-1.605195681,-0.085454312,-0.31184737,-0.037581574,-0.322753493,-0.082454814,-0.167526345,-1.964250627,-1.364106338,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-1.0_cz=18.1.log
1.4,-1,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.063440941,-0.884701248,-1.577095783,-0.079587093,-0.293097371,-0.033829064,-0.310441747,-0.077949292,-0.159889548,-1.967664282,-1.268561666,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.4_cy=-1.0_cz=18.2.log
