cx,cy,cz,a,b,theta,R3,R4,A2,status
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.1,Done
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.2,Done
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.3,Done
1.6,-1,18.2,7.3,5.9,25.5,2.2,2.1,-0.4,Done
