cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.6,-1.0,18.2,-0.1,7.3,5.9,25.5,2.2,2.1,-5.073443450732157,-1.0218247338198123,-1.6027170158922672,-0.0820155572146177,-0.2574548029806465,-0.0303463835734874,-0.3104354720562696,-0.0737826258409768,-0.1477472295518964,-1.874968504649587,-1.324548107921146,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=1.6_cy=-1_cz=18.2.log
1.6,-1.0,18.2,-0.2,7.3,5.9,25.5,2.2,2.1,-5.093454744317569,-1.0626944601535795,-1.6059612424578518,-0.0816202256828546,-0.2620858266018331,-0.0305346366949379,-0.306814739247784,-0.0738014511298388,-0.1477472294354811,-1.872113334131427,-1.3249371642014012,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=1.6_cy=-1_cz=18.2.log
1.6,-1.0,18.2,-0.3,7.3,5.9,25.5,2.2,2.1,-5.111878437572159,-1.10086589329876,-1.6085967845283449,-0.0812311694025993,-0.2668423522263765,-0.0307354398537427,-0.3032442075200379,-0.0738140012836083,-0.1477472294354811,-1.86925188836176,-1.3253073950763792,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.6_cy=-1_cz=18.2.log
1.6,-1.0,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.12866433034651,-1.1363704092800615,-1.610592266311869,-0.0808358381036669,-0.2716992800123989,-0.0309362430125474,-0.2997364264447242,-0.0738265515537932,-0.1477472295518964,-1.8663778924383223,-1.3256274252198637,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-1_cz=18.2.log
1.5,-1.1,18.1,-0.1,7.3,5.9,25.5,2.2,2.1,-4.9382872093701735,-0.4041540906764567,-1.6645016504917294,-0.0902171127963811,-0.2603601741138845,-0.036847387207672,-0.3098142370581627,-0.0810052659362554,-0.1565386445727199,-1.904147719615139,-1.4136482530739158,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=1.5_cy=-1.1_cz=18.1.log
1.5,-1.1,18.1,-0.2,7.3,5.9,25.5,2.2,2.1,-4.975043607293628,-0.4715612146537751,-1.6753387483768163,-0.0897590306121856,-0.2649284468498081,-0.0370607406366616,-0.3061809542123228,-0.0810115410713478,-0.1565449197078123,-1.9011795971309768,-1.4138929817127064,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=1.5_cy=-1.1_cz=18.1.log
1.5,-1.1,18.1,-0.3,7.3,5.9,25.5,2.2,2.1,-5.009349579224363,-0.5350150258745998,-1.6850902535952628,-0.0893009481951594,-0.2696347718592733,-0.0372929193545132,-0.3026166975032538,-0.0810240912251174,-0.1565449198242277,-1.8982051997445524,-1.4141000602394342,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=1.5_cy=-1.1_cz=18.1.log
1.5,-1.1,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.041161198285408,-0.5945594499353319,-1.6937498915940523,-0.0888365905266255,-0.2744665988720953,-0.0375188228208571,-0.2990900913719088,-0.0810303662437945,-0.1565511948429048,-1.8951994269154968,-1.4142694877227768,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1.1_cz=18.1.log
1.5,-1.1,18.2,-0.1,7.3,5.9,25.5,2.2,2.1,-4.987204750766978,-0.7745857937261462,-1.6011858915444463,-0.0839357376098632,-0.2452371830586344,-0.0331325279548764,-0.2982429526746273,-0.0766315211076289,-0.1495419081766158,-1.9160641343332827,-1.3268071438651532,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=1.5_cy=-1.1_cz=18.2.log
1.5,-1.1,18.2,-0.2,7.3,5.9,25.5,2.2,2.1,-5.013296617078595,-0.8244540134910494,-1.60624989727512,-0.0835466815624386,-0.2493787491694092,-0.0333396063651889,-0.2947602721396833,-0.0766440713778138,-0.1495481833117082,-1.914049827377312,-1.327189925010316,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=1.5_cy=-1.1_cz=18.2.log
