cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1.3,-0.7,18.1,7.3,5.9,25.5,-0.1,2.1,-4.708891516,-1.032799884,-0.378263028,-0.034042418,-0.416202283,-0.0784513,-0.394829292,-1.225972562,-2.04413265,-0.1898406,-0.081651601,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.7_cz=18.1.log
-1.3,-0.7,18.5,7.3,5.9,25.5,-0.1,2.1,-4.693106501,-1.283923111,-1.181444452,-0.022872739,-0.352321764,-0.059155368,-0.305333816,-0.877359382,-1.992337975,-0.155904859,-0.06497866,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.7_cz=18.5.log
-1.3,-1.1,18.3,7.3,5.9,25.5,-0.1,2.1,-4.689444981,-1.478488861,-0.78564252,-0.032467367,-0.299516798,-0.076895075,-0.244848127,-1.157799876,-1.842419561,-0.153978404,-0.076317766,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-1.1_cz=18.3.log
-1.5,-0.9,18.5,7.3,5.9,25.5,-0.1,2.1,-4.68847234,-1.318887968,-1.174510467,-0.022163653,-0.30152483,-0.064231924,-0.237857665,-0.994396272,-1.933910519,-0.137110935,-0.063466361,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.5.log
-1.7,-0.9,18.5,7.3,5.9,25.5,-0.1,2.1,-4.644756856,-1.281275018,-1.187368147,-0.020086595,-0.290643807,-0.065455568,-0.219195518,-1.051349079,-1.87373231,-0.127196277,-0.060466864,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-0.9_cz=18.5.log
-1.5,-0.5,18.5,7.3,5.9,25.5,-0.1,2.1,-4.64219034,-1.31428832,-1.273167589,-0.019007278,-0.383402335,-0.057241462,-0.340449275,-0.882511239,-1.853909269,-0.151499739,-0.060491964,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.5_cz=18.5.log
-1.7,-0.7,18.3,7.3,5.9,25.5,-0.1,2.1,-4.62839767,-1.508427363,-1.378357091,-0.02288529,-0.352428441,-0.070720377,-0.29902734,-1.160435418,-1.439928372,-0.146329057,-0.065781873,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-0.7_cz=18.3.log
-1.3,-1.1,18.1,7.3,5.9,25.5,-0.1,2.1,-4.608285975,-1.494678619,0.089031119,-0.040047688,-0.324246967,-0.089300948,-0.275050183,-1.351129432,-1.935002386,-0.169352399,-0.085655115,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-1.1_cz=18.1.log
-1.1,-0.7,18.3,7.3,5.9,25.5,-0.1,2.1,-4.570798527,-1.026800888,-0.741233637,-0.030967619,-0.39720128,-0.066271331,-0.369697516,-0.964583272,-2.0268322,-0.186822277,-0.076474644,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.7_cz=18.3.log
-1.7,-1.1,18.5,7.3,5.9,25.5,-0.1,2.1,-4.56543018,-1.249322209,-1.082222571,-0.021780872,-0.259695014,-0.069170427,-0.185956314,-1.105358865,-1.843354551,-0.120958828,-0.061684233,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-1.1_cz=18.5.log
-1.1,-0.5,18.3,7.3,5.9,25.5,-0.1,2.1,-4.562847976,-0.835874695,-0.691446994,-0.028871735,-0.453332049,-0.062255267,-0.444628486,-0.905277301,-2.127472254,-0.197508772,-0.074385035,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.5_cz=18.3.log
-1.3,-0.9,18.5,7.3,5.9,25.5,-0.1,2.1,-4.56025636,-1.314332245,-1.130647518,-0.024560741,-0.311414388,-0.062663149,-0.256174682,-0.928507722,-1.867532511,-0.147766055,-0.066553711,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.9_cz=18.5.log
-1.1,-0.5,18.5,7.3,5.9,25.5,-0.1,2.1,-4.528005484,-1.097088283,-1.033113639,-0.023770079,-0.414432704,-0.054016061,-0.389250728,-0.7593122,-2.018931849,-0.177798684,-0.066127004,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.5_cz=18.5.log
-1.7,-0.7,18.5,7.3,5.9,25.5,-0.1,2.1,-4.515292131,-1.30367085,-1.255936165,-0.018486445,-0.325872218,-0.061866211,-0.261928949,-0.99363071,-1.715141707,-0.133490202,-0.059149093,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-0.7_cz=18.5.log
-1.1,-0.9,18.3,7.3,5.9,25.5,-0.1,2.1,-4.508709551,-1.215668848,-0.720682685,-0.033176454,-0.348763783,-0.070463098,-0.309324779,-1.02031871,-1.884638434,-0.176280109,-0.078432475,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.9_cz=18.3.log
-1.5,-1.1,18.5,7.3,5.9,25.5,-0.1,2.1,-4.507918888,-1.301054134,-1.058898025,-0.02387048,-0.268411127,-0.067927958,-0.201913893,-1.044892001,-1.807172324,-0.130007522,-0.064809233,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-1.1_cz=18.5.log
-1.1,-0.7,18.5,7.3,5.9,25.5,-0.1,2.1,-4.447135132,-1.18066634,-1.063955755,-0.025464356,-0.363861674,-0.057316763,-0.325432961,-0.809682428,-1.892758413,-0.168398584,-0.067946783,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.7_cz=18.5.log
-1.3,-1.1,18.5,7.3,5.9,25.5,-0.1,2.1,-4.356507001,-1.32370097,-1.024278298,-0.026305219,-0.276192251,-0.066296431,-0.217651844,-0.975539596,-1.706030262,-0.139727652,-0.067996984,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-1.1_cz=18.5.log
-1.3,-0.5,18.7,7.3,5.9,25.5,-0.1,2.1,-4.331579166,-1.133383462,-1.097289086,-0.017382027,-0.365901081,-0.048575549,-0.319314739,-0.683584294,-1.952353038,-0.148211587,-0.056507276,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.5_cz=18.7.log
-1.1,-0.9,18.5,7.3,5.9,25.5,-0.1,2.1,-4.319637651,-1.256576225,-1.051123176,-0.027240209,-0.319929698,-0.060736693,-0.273632011,-0.857310437,-1.738911786,-0.159142811,-0.06965361,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.9_cz=18.5.log
-1.5,-0.7,18.7,7.3,5.9,25.5,-0.1,2.1,-4.285413255,-1.121824727,-1.081557411,-0.016553714,-0.312242701,-0.052855167,-0.248155105,-0.782128464,-1.900181856,-0.130948787,-0.055559735,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.7_cz=18.7.log
-1.5,-0.5,18.7,7.3,5.9,25.5,-0.1,2.1,-4.27818434,-1.131871162,-1.105678895,-0.015430471,-0.352133512,-0.050069023,-0.296693003,-0.733088557,-1.877566396,-0.137368214,-0.054223139,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.5_cz=18.7.log
-1.7,-0.7,18.1,7.3,5.9,25.5,-0.1,2.1,-4.233631129,-1.636884935,-1.263980843,-0.028074797,-0.380421662,-0.080810738,-0.34107051,-1.302591533,-0.832128461,-0.160134277,-0.073155116,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-0.7_cz=18.1.log
-1.3,-0.7,18.7,7.3,5.9,25.5,-0.1,2.1,-4.224739313,-1.137179897,-1.081651537,-0.018561746,-0.322916646,-0.051324043,-0.267363186,-0.729336048,-1.856990343,-0.140957571,-0.057956824,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.7_cz=18.7.log
-1.1,-0.5,18.7,7.3,5.9,25.5,-0.1,2.1,-4.191289892,-1.095368906,-1.052873929,-0.019553212,-0.3780936,-0.046837346,-0.340631253,-0.631237409,-1.874767701,-0.159807972,-0.058797687,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.5_cz=18.7.log
-1.5,-0.9,18.7,7.3,5.9,25.5,-0.1,2.1,-4.175043658,-1.104223072,-1.041283819,-0.017840109,-0.277848878,-0.055766814,-0.209851894,-0.828507728,-1.811759422,-0.124560735,-0.05680848,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.7.log
-1.3,-0.9,18.7,7.3,5.9,25.5,-0.1,2.1,-4.06189733,-1.131965289,-1.046115646,-0.019898342,-0.286150835,-0.054185488,-0.226405608,-0.772320483,-1.714162792,-0.133734931,-0.05931852,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.9_cz=18.7.log
-1.1,-0.7,18.7,7.3,5.9,25.5,-0.1,2.1,-4.053491834,-1.12010535,-1.055352593,-0.020820782,-0.332523824,-0.049523089,-0.285661377,-0.673337055,-1.736182118,-0.151612691,-0.060366462,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.7_cz=18.7.log
-1.1,-0.9,18.7,7.3,5.9,25.5,-0.1,2.1,-3.890034892,-1.134707508,-1.036050385,-0.022220129,-0.293147572,-0.052309234,-0.242312986,-0.713209041,-1.581111847,-0.143498987,-0.06184111,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.1_cy=-0.9_cz=18.7.log
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-0.2,1.4,18.5,7.3,5.9,25.5,-0.1,2.1,-5.69921211,-0.95916786,-1.135498171,-0.019954818,-1.862989339,-0.023343372,-1.786552346,-0.234751491,-2.104800317,-0.414947262,-0.050960087,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.5.log
-0.4,1.4,18.5,7.3,5.9,25.5,-0.1,2.1,-5.624180739,-0.877704512,-1.209569451,-0.018216615,-1.841164541,-0.024968623,-1.686062894,-0.250395315,-2.121874864,-0.373104896,-0.049962346,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.4_cz=18.5.log
-0.2,1.4,18.3,7.3,5.9,25.5,-0.1,2.1,-5.601201323,-0.514978632,-0.917350594,-0.022797438,-1.973663277,-0.026474647,-1.808383418,-0.266741951,-2.162757141,-0.482291636,-0.057586593,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.3.log
-0.4,1.2,18.5,7.3,5.9,25.5,-0.1,2.1,-5.595836113,-0.860830768,-1.097722068,-0.01947791,-1.678733577,-0.02665035,-1.720996376,-0.274943507,-2.205641174,-0.360322517,-0.05272339,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.4_cy=1.2_cz=18.5.log
0,1.4,18.5,7.3,5.9,25.5,-0.1,2.1,-5.576794322,-1.048782563,-1.048782563,-0.021674195,-1.846008918,-0.021674195,-1.846008918,-0.219879504,-1.926643953,-0.461979137,-0.051826051,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.4_cz=18.5.log
