a,b,theta,R3,R4,cx,cy,cz,status
7.3,5.9,25.5,-0.1,2.1,-1.3,-0.7,18.5,Done
7.3,5.9,25.5,-0.1,2.1,0.0,1.4,18.5,Done
7.3,5.9,25.5,-0.1,2.1,1.8,0.5,18.1,Done
7.3,5.9,25.5,0.0,0.0,-1.9,0.0,18.0,Done
7.3,5.9,25.5,0.0,0.0,0.0,-1.4,18.5,Done
7.3,5.9,25.5,2.2,2.1,-1.8,0.5,18.1,Done
7.3,5.9,25.5,2.2,2.1,0.0,1.4,18.5,Done
7.3,5.9,25.5,2.2,2.1,1.3,-0.7,18.5,InProgress
7.3,5.9,25.5,2.4,0.0,0.9,0.0,18.8,Done
