cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.6,1,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.07501599,-1.310774263,-0.600010002,-0.034861946,-1.333304383,-0.024574547,-1.115440441,-0.058527858,-0.282620464,-2.178742958,-0.345641921,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.6_cy=1.0_cz=13.6.log
0.7,0.9,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.057507834,-1.30739324,-0.632804929,-0.036839857,-1.371772001,-0.024287147,-1.004762737,-0.058911266,-0.26466803,-2.167614068,-0.377384514,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.7_cy=0.9_cz=13.6.log
0.6,0.9,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.056974451,-1.279612117,-0.523379736,-0.036046684,-1.411460753,-0.025438,-1.032778548,-0.059917165,-0.277811227,-2.202310351,-0.362577788,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.6_cy=0.9_cz=13.6.log
0.5,1,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.055318765,-1.283317564,-0.508375972,-0.034058733,-1.385052622,-0.025701555,-1.144477838,-0.059460965,-0.296713084,-2.176300061,-0.332352514,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=1.0_cz=13.6.log
0.5,1.1,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.048560169,-1.301891232,-0.599190474,-0.032934235,-1.224486618,-0.024845631,-1.232833756,-0.05803087,-0.301669785,-2.16384085,-0.31692769,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=1.1_cz=13.6.log
0.7,0.8,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.033340541,-1.267718292,-0.573457544,-0.038087347,-1.388615624,-0.025153111,-0.930493164,-0.060251628,-0.260098502,-2.205159874,-0.396067997,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.7_cy=0.8_cz=13.6.log
0.6,1,13.5,0,-2,7.4,5.8,25.5,2.1,1.9,-5.02707956,-1.344302123,-0.29777232,-0.036920178,-1.371072954,-0.02649661,-1.180248418,-0.061988575,-0.301236803,-2.16361934,-0.37182854,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.6_cy=1.0_cz=13.5.log
0.7,1,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.019404799,-1.331681642,-0.697469835,-0.035635038,-1.282867639,-0.023460089,-1.08436991,-0.057568395,-0.269128999,-2.105655613,-0.359309716,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.7_cy=1.0_cz=13.6.log
0.5,1,13.5,0,-2,7.4,5.8,25.5,2.1,1.9,-5.016367651,-1.294703732,-0.163283122,-0.03609061,-1.428407288,-0.027679466,-1.211576228,-0.0630384,-0.316759518,-2.198732917,-0.356966594,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=1.0_cz=13.5.log
0.6,1.1,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.016218931,-1.325496903,-0.678121191,-0.033719877,-1.153916844,-0.023757529,-1.201662825,-0.057136041,-0.287241447,-2.13431023,-0.329193629,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.6_cy=1.1_cz=13.6.log
