cx,cy,cz,A1,A2,a,b,theta,R3,R4,status
1.5,-0.9,13.2,0,-2,7.4,5.8,25.5,2.1,1.9,Done
0.6,0.9,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,Done
