cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
1.5,-0.8,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.314794464,-1.183325727,-1.551846035,-0.090837093,-0.319641044,-0.040311242,-0.338124978,-0.076979162,-0.151389925,-1.996301328,-1.328080989
1.6,-0.9,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.313601568,-1.235011216,-1.601451956,-0.094216861,-0.281110675,-0.040397839,-0.31247739,-0.07559613,-0.141676698,-1.932406377,-1.381589394
1.5,-0.9,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.306036935,-1.122725832,-1.580460491,-0.093869221,-0.292148576,-0.04201807,-0.318664638,-0.077849518,-0.147569017,-1.996215359,-1.359459627
1.5,-0.9,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.302854831,-0.876838548,-1.617277758,-0.100628759,-0.311498474,-0.046369224,-0.331605149,-0.08218875,-0.154536888,-1.977424572,-1.446595665
1.6,-0.9,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.30159385,-1.061534194,-1.66979407,-0.100882273,-0.299831808,-0.04458333,-0.324969859,-0.079732048,-0.14824108,-1.868806356,-1.454016599
1.5,-0.8,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.28723297,-0.960885983,-1.564740111,-0.09726656,-0.341222368,-0.044418923,-0.351985419,-0.081259408,-0.158563619,-1.950368851,-1.41678141
1.6,-0.8,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.284749285,-1.301719294,-1.589694928,-0.091219874,-0.307614187,-0.038713602,-0.33132277,-0.074765306,-0.14524974,-1.883660773,-1.350931138
1.5,-0.7,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.271763593,-1.222877683,-1.515887202,-0.087909131,-0.350586072,-0.038660891,-0.359118953,-0.07606488,-0.155208951,-1.958747365,-1.294222432
1.6,-0.8,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.242665955,-1.152616643,-1.640101552,-0.09754894,-0.328486425,-0.042686995,-0.344633512,-0.078844749,-0.152002375,-1.78194454,-1.426837258
1.4,-0.8,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.240936537,-1.034328498,-1.48562114,-0.0903514,-0.331502238,-0.042019325,-0.344726383,-0.07922502,-0.157751621,-2.046073539,-1.293611865
1.4,-0.7,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.229387215,-1.063895514,-1.429300862,-0.087394573,-0.363490188,-0.040338853,-0.366650328,-0.07827246,-0.161817259,-2.053932474,-1.259829864
1.5,-0.8,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.218946076,-1.28073034,-1.499177866,-0.084868217,-0.299371216,-0.036548693,-0.324688734,-0.072914779,-0.14447602,-2.003758657,-1.235104088
1.4,-0.9,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.212796479,-0.983580509,-1.534154018,-0.093399843,-0.303020814,-0.043748742,-0.324535622,-0.080143695,-0.153682847,-2.012439003,-1.32531116
1.5,-0.7,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.210408803,-1.019603348,-1.503762454,-0.094011038,-0.375125478,-0.042599144,-0.37403612,-0.080286139,-0.162589096,-1.879810999,-1.383153777
1.5,-0.7,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.204359607,-1.308232848,-1.481649002,-0.08220883,-0.327694507,-0.035065259,-0.344617197,-0.072064503,-0.148091105,-1.992166037,-1.20230414
1.6,-0.9,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.204268618,-1.297567688,-1.51013921,-0.088029613,-0.263274331,-0.036592618,-0.300360172,-0.071669172,-0.135357045,-1.953360191,-1.295900394
