a,b,theta,R3,R4,status
7.3,5.9,25.5,-2.3,0.0,NotYet
7.3,5.9,25.5,-2.1,-1.9,NotYet
7.3,5.9,25.5,-0.2,1.9,NotYet
7.3,5.9,25.5,0.0,0.0,NotYet
7.3,5.9,25.5,0.2,-1.9,NotYet
7.3,5.9,25.5,2.1,1.9,NotYet
7.3,5.9,25.5,2.3,0.0,NotYet
