cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1.5,-0.9,13.4,7.3,5.9,25.5,-0.2,1.9,-5.095684915,-1.491687907,-1.153246663,-0.03611069,-0.298920664,-0.085924944,-0.238639543,-1.264186039,-1.963091616,-0.141833575,-0.074308479,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.9_cz=13.4.log
-1.4,-0.9,13.3,7.3,5.9,25.5,-0.2,1.9,-5.086650026,-1.477494885,-0.872811189,-0.041534887,-0.316777088,-0.091583829,-0.263633266,-1.324974815,-1.99424184,-0.154729533,-0.080786265,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.9_cz=13.3.log
-1.5,-1,13.2,7.3,5.9,25.5,-0.2,1.9,-5.082532305,-1.608792568,-0.56256146,-0.045709083,-0.305018806,-0.102119722,-0.247940496,-1.463114866,-1.947892069,-0.15157755,-0.083876752,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-1.0_cz=13.2.log
-1.4,-0.7,13.4,7.3,5.9,25.5,-0.2,1.9,-5.08200708,-1.389369891,-1.178540336,-0.034814255,-0.343296916,-0.080056471,-0.294897069,-1.165736622,-2.025718997,-0.155506391,-0.074557601,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.7_cz=13.4.log
-1.6,-0.8,13.2,7.3,5.9,25.5,-0.2,1.9,-5.074942572,-1.595843271,-1.026445717,-0.040335088,-0.336641545,-0.095720375,-0.284826789,-1.405075211,-1.747021725,-0.153384779,-0.079554463,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.8_cz=13.2.log
-1.4,-0.8,13.4,7.3,5.9,25.5,-0.2,1.9,-5.066755763,-1.426311405,-1.137001684,-0.036214857,-0.322954297,-0.082660637,-0.269937859,-1.198573593,-2.00364696,-0.151501622,-0.075493218,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.8_cz=13.4.log
-1.6,-0.7,13.3,7.3,5.9,25.5,-0.2,1.9,-5.062779232,-1.541878666,-1.286002051,-0.035074044,-0.343345862,-0.086640306,-0.29207202,-1.302954234,-1.742612213,-0.150228404,-0.074477907,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.7_cz=13.3.log
-1.5,-0.7,13.2,7.3,5.9,25.5,-0.2,1.9,-5.046151158,-1.430986354,-0.929351095,-0.040311242,-0.36524094,-0.092206319,-0.323678443,-1.371049109,-1.839172196,-0.164106415,-0.08093624,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.7_cz=13.2.log
-1.6,-0.7,13.4,7.3,5.9,25.5,-0.2,1.9,-5.044914336,-1.490519483,-1.339120145,-0.031866213,-0.329859417,-0.081083077,-0.273491448,-1.222559535,-1.835407764,-0.143395448,-0.070581697,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.7_cz=13.4.log
-1.4,-0.8,13.2,7.3,5.9,25.5,-0.2,1.9,-5.036438558,-1.357474813,-0.614090071,-0.043888049,-0.350525831,-0.094967363,-0.306817249,-1.384252547,-2.017238199,-0.166675441,-0.084390682,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.8_cz=13.2.log
