a,b,theta,R3,R4,cx,cy,cz,status
7.3,5.9,25.5,2.1,1.9,0.2,1.4,13.4,Done
7.3,5.9,25.5,2.1,1.9,1.5,-0.9,13.2,Done
7.3,5.9,25.5,0.0,0.0,1.9,0.0,12.9,Done
7.3,5.9,25.5,0.0,0.0,0.0,2.0,13.4,Done
7.3,5.9,25.5,2.1,1.9,-1.9,0.7,13.1,Done
7.3,5.9,25.5,2.3,0.0,1.1,0.0,13.7,Done
7.3,5.9,25.5,-0.2,1.9,-0.2,1.4,13.4,Done
7.3,5.9,25.5,-0.2,1.9,1.9,0.7,13.1,Done
7.3,5.9,25.5,-0.2,1.9,-1.5,-0.9,13.2,Done
