cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.767626388,-1.156896261,-0.894459029,-0.026104416,-1.743593011,-0.02260291,-1.913309365,-0.054141563,-0.447169901,-2.137851269,-0.249981159,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.4_cz=18.4.log
0.1,1.3,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.61037552,-0.822464807,-0.633634498,-0.027798693,-1.881118102,-0.025916163,-1.93839094,-0.059877004,-0.500796906,-2.116013921,-0.269026087,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.68653327,-1.014357365,-0.891585033,-0.026116966,-1.849861829,-0.024303462,-1.884927088,-0.056262547,-0.463867942,-2.068235309,-0.2525916,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.620023486,-1.097954247,-1.020092806,-0.024523091,-1.795720267,-0.022772338,-1.818505155,-0.052867717,-0.429492944,-2.010811869,-0.237067003,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.4,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.667475792,-0.94316008,-0.739897041,-0.026869978,-1.797973027,-0.025043924,-1.918963231,-0.058151352,-0.510692739,-2.115537013,-0.257141048,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.4_cz=18.3.log
0.1,1.4,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.7456855,-1.094534317,-0.96132022,-0.025251003,-1.80662639,-0.023493974,-1.891252389,-0.054662396,-0.472872711,-2.075319897,-0.24159135,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.4_cz=18.4.log
0.1,1.4,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.679053351,-1.14708828,-1.062016749,-0.023726153,-1.781011432,-0.022044426,-1.842978045,-0.051380519,-0.437581548,-2.0237323,-0.226926441,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.4_cz=18.5.log
0.1,1.5,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.565116361,-1.030754201,-0.813453763,-0.025960089,-1.581990361,-0.02419051,-1.799704955,-0.056438249,-0.520155589,-2.104875618,-0.245619964,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.5_cz=18.3.log
0.1,1.5,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.671331841,-1.147878943,-1.004354856,-0.024416414,-1.651430617,-0.022715862,-1.814181611,-0.053074796,-0.481475873,-2.073336966,-0.230955055,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.5_cz=18.4.log
0.1,1.5,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.626706467,-1.174667344,-1.081990393,-0.022954316,-1.672552604,-0.02132279,-1.797860076,-0.049912146,-0.445362672,-2.028614328,-0.21714356,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.5_cz=18.5.log
0.2,1.3,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.636850166,-0.919502953,-0.547659352,-0.028708583,-1.829649732,-0.024956073,-1.946680347,-0.059243219,-0.472828785,-2.177202421,-0.278997221,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.3_cz=18.3.log
0.2,1.3,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.734503273,-1.076292602,-0.834500449,-0.02698293,-1.814871872,-0.023381023,-1.886728042,-0.055710338,-0.438918145,-2.146843487,-0.261652845,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.3_cz=18.4.log
0.2,1.3,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.683656138,-1.136527287,-0.982762236,-0.025363954,-1.770745369,-0.021893824,-1.817030506,-0.052384535,-0.407366942,-2.10150589,-0.245237183,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.3_cz=18.5.log
0.2,1.4,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.661006164,-1.041239893,-0.640643784,-0.027735942,-1.71062991,-0.024115209,-1.953099775,-0.057555217,-0.481996706,-2.156306338,-0.266415646,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.4_cz=18.3.log
0.2,1.4,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.722222902,-1.185253438,-1.01747609,-0.024541916,-1.734192911,-0.021172187,-1.857755905,-0.050934987,-0.414746459,-2.101901221,-0.234444011,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.4_cz=18.5.log
0.2,1.5,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.523929742,-1.13044044,-0.701694232,-0.026807227,-1.444327217,-0.023299446,-1.876600031,-0.055892316,-0.490788121,-2.121460708,-0.254204301,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.5_cz=18.3.log
0.2,1.5,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.665288919,-1.211219802,-0.928294368,-0.025244727,-1.547414559,-0.021856173,-1.870870864,-0.052597888,-0.455133003,-2.116440628,-0.238667153,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.5_cz=18.4.log
0.2,1.5,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.647630788,-1.21325921,-1.030591049,-0.023757529,-1.592745882,-0.020488201,-1.84112689,-0.049497989,-0.421862423,-2.091290027,-0.22399597,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.5_cz=18.5.log
0.3,1.3,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.603642337,-1.014595819,-0.470896054,-0.029593372,-1.76297052,-0.023995982,-1.943699675,-0.058565508,-0.446605142,-2.186401718,-0.289194259,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.3_cz=18.3.log
0.3,1.3,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.735052344,-1.13644571,-0.782718323,-0.027842619,-1.767890198,-0.022452308,-1.879430101,-0.055120478,-0.415524572,-2.185152972,-0.270864691,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.3_cz=18.4.log
0.3,1.3,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.71016216,-1.173945708,-0.948067208,-0.026185992,-1.736608824,-0.020996485,-1.807755908,-0.051869977,-0.386433208,-2.161508396,-0.253570516,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.3_cz=18.5.log
0.3,1.4,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.577082976,-1.133396012,-0.546774563,-0.028601906,-1.607322939,-0.023167669,-1.971554844,-0.056921432,-0.4549573,-2.133948156,-0.275847121,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.4_cz=18.3.log
0.3,1.4,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.727575562,-1.21420675,-0.83019573,-0.026926454,-1.667758427,-0.021705571,-1.922847518,-0.053595629,-0.423023316,-2.150595997,-0.258540395,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.4_cz=18.4.log
0.3,1.4,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.716465497,-1.219609611,-0.973443713,-0.025345129,-1.677622885,-0.020312499,-1.862029248,-0.050458079,-0.393210316,-2.141453176,-0.242162384,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.4_cz=18.5.log
0.3,1.5,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.387596919,-1.220688928,-0.591779581,-0.027648091,-1.292419596,-0.022383282,-1.932548822,-0.055302456,-0.463027079,-2.062593995,-0.26293924,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.5_cz=18.3.log
0.3,1.5,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.582209733,-1.266672861,-0.852346833,-0.026054215,-1.431456987,-0.020971384,-1.910981304,-0.052089605,-0.430271057,-2.099027225,-0.246580054,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.5_cz=18.4.log
0.3,1.5,18.5,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.607253658,-1.245732852,-0.977867658,-0.024541916,-1.50379634,-0.019653613,-1.870688886,-0.049058732,-0.39973642,-2.10621849,-0.231099383,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.3_cy=1.5_cz=18.5.log
