cx,cy,cz,a,b,theta,R3,R4,A2,status
0.2,1.4,18.4,7.3,5.9,25.5,2.2,2.1,-0.1,Done
0.2,1.4,18.4,7.3,5.9,25.5,2.2,2.1,-0.2,Done
0.2,1.4,18.4,7.3,5.9,25.5,2.2,2.1,-0.3,Done
0.2,1.4,18.4,7.3,5.9,25.5,2.2,2.1,-0.4,Done
