cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.8,13.3,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.236997029162012,-1.2129768299637362,-1.409348554327153,-0.0934199236799031,-0.2947163465432822,-0.0416189732495695,-0.3560529389651492,-0.0770255973911844,-0.1511276260134764,-1.9835327545297328,-1.3212442678632217,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=1.5_cy=-0.8_cz=13.3.log
1.5,-0.8,13.3,-1.0,0,7.4,5.8,25.5,2.1,1.9,-5.196197584155016,-1.3064105589874089,-1.2811030807206407,-0.0946109376382082,-0.2858923011226579,-0.0435968848178163,-0.3610592138720676,-0.0770914860186167,-0.1507599049946293,-1.9651642818353137,-1.3168454227270558,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=1.5_cy=-0.8_cz=13.3.log
1.5,-0.8,13.3,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.245358600048348,-1.1693586099427191,-1.4527069854084402,-0.0929003454511985,-0.2982341676251963,-0.0408709814073517,-0.3539683507988229,-0.0769942219485528,-0.1512675604899414,-1.9902477391297,-1.3228293581632895,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=1.5_cy=-0.8_cz=13.3.log
1.4,-0.9,13.2,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.069163204636425,-0.6960353470640257,-1.2853212029440328,-0.1031387984985485,-0.2984663463430479,-0.0497402074979618,-0.3553413427434861,-0.0847427154658362,-0.1607824946986511,-2.016758154029958,-1.412858217896428,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-1.0,0,7.4,5.8,25.5,2.1,1.9,-5.038242649578024,-0.8723154563922435,-1.093413584632799,-0.1043636981630697,-0.2899686059681698,-0.0520506994798779,-0.3598757300060242,-0.0848073490196839,-0.160404733789619,-1.9985766792087816,-1.408460000238847,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.07362731086323,-0.620341325760819,-1.353208999731578,-0.1025916099315509,-0.3018298000097275,-0.0488704789895564,-0.3534437523921951,-0.0847132225171662,-0.1609211743925698,-2.023405994928908,-1.4144439356168732,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.3,-1.0,0,7.4,5.8,25.5,2.1,1.9,-5.096662575262599,-1.1103513344423843,-1.2384022801415997,-0.0974384977016598,-0.2717419505352154,-0.0473857901524752,-0.3450175480684265,-0.0802359385997988,-0.1530415313900448,-1.9943102388060647,-1.3139061659458091,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.3,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.123409561638255,-0.9995581689290702,-1.3705019203480333,-0.096135786967352,-0.2798719700658694,-0.0452233906835317,-0.3408922974485904,-0.0801769527024589,-0.1534004670684225,-2.0054246959625743,-1.3183156786835752,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.3,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.127586268296,-0.9506211740663276,-1.4164783229352906,-0.0955722831422463,-0.2830948614282533,-0.0444113927660509,-0.3391716650221497,-0.0801493424223735,-0.153527851565741,-2.009335338254459,-1.3198988863732666,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.4,-1.0,0,7.4,5.8,25.5,2.1,1.9,-5.024119909387082,-1.218611869844608,-1.3021259207744151,-0.0910015001427382,-0.2544615800725296,-0.043094876804389,-0.3305659929756075,-0.0759023545542731,-0.1459531784057617,-1.9641759535297751,-1.218157552590128,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=1.4_cy=-0.9_cz=13.4.log
1.4,-0.9,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.046407181944232,-1.1534625263884664,-1.3905207443749532,-0.0896423136582598,-0.2622477241093293,-0.0410805697320029,-0.3268787440611049,-0.0758508988074027,-0.1462876411387697,-1.9698511540773325,-1.222501176758669,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=1.4_cy=-0.9_cz=13.4.log
